group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
write_bench,kvs,,,,1057201.0,ns,4
write_bench,kvs,,,,2300103.0,ns,8
write_bench,kvs,,,,3111405.0,ns,12
write_bench,kvs,,,,4182406.0,ns,16
write_bench,kvs,,,,5292906.0,ns,20
write_bench,kvs,,,,6132908.0,ns,24
write_bench,kvs,,,,7388909.0,ns,28
write_bench,kvs,,,,8134712.0,ns,32
write_bench,kvs,,,,9309214.0,ns,36
write_bench,kvs,,,,12368417.0,ns,40
write_bench,kvs,,,,11619515.0,ns,44
write_bench,kvs,,,,12210817.0,ns,48
write_bench,kvs,,,,14794823.0,ns,52
write_bench,kvs,,,,15456421.0,ns,56
write_bench,kvs,,,,15485421.0,ns,60
write_bench,kvs,,,,16563824.0,ns,64
write_bench,kvs,,,,19004924.0,ns,68
write_bench,kvs,,,,19804929.0,ns,72
write_bench,kvs,,,,19602627.0,ns,76
write_bench,kvs,,,,26750939.0,ns,80
write_bench,kvs,,,,22075629.0,ns,84
write_bench,kvs,,,,22758832.0,ns,88
write_bench,kvs,,,,25201034.0,ns,92
write_bench,kvs,,,,24431535.0,ns,96
write_bench,kvs,,,,25903537.0,ns,100
write_bench,kvs,,,,26522338.0,ns,104
write_bench,kvs,,,,28248942.0,ns,108
write_bench,kvs,,,,28595741.0,ns,112
write_bench,kvs,,,,29673642.0,ns,116
write_bench,kvs,,,,40176956.0,ns,120
write_bench,kvs,,,,31756345.0,ns,124
write_bench,kvs,,,,33294448.0,ns,128
write_bench,kvs,,,,34052647.0,ns,132
write_bench,kvs,,,,35014750.0,ns,136
write_bench,kvs,,,,35715150.0,ns,140
write_bench,kvs,,,,37693456.0,ns,144
write_bench,kvs,,,,39619456.0,ns,148
write_bench,kvs,,,,40428655.0,ns,152
write_bench,kvs,,,,41975557.0,ns,156
write_bench,kvs,,,,46912269.0,ns,160
write_bench,kvs,,,,42835960.0,ns,164
write_bench,kvs,,,,43062660.0,ns,168
write_bench,kvs,,,,44603563.0,ns,172
write_bench,kvs,,,,45475864.0,ns,176
write_bench,kvs,,,,46783762.0,ns,180
write_bench,kvs,,,,49435170.0,ns,184
write_bench,kvs,,,,47923367.0,ns,188
write_bench,kvs,,,,50287271.0,ns,192
write_bench,kvs,,,,52418672.0,ns,196
write_bench,kvs,,,,55234876.0,ns,200
write_bench,kvs,,,,52390075.0,ns,204
write_bench,kvs,,,,53079975.0,ns,208
write_bench,kvs,,,,53643175.0,ns,212
write_bench,kvs,,,,56059278.0,ns,216
write_bench,kvs,,,,55988677.0,ns,220
write_bench,kvs,,,,56979480.0,ns,224
write_bench,kvs,,,,58258783.0,ns,228
write_bench,kvs,,,,59293184.0,ns,232
write_bench,kvs,,,,60065683.0,ns,236
write_bench,kvs,,,,60896886.0,ns,240
write_bench,kvs,,,,63960090.0,ns,244
write_bench,kvs,,,,63767790.0,ns,248
write_bench,kvs,,,,64171090.0,ns,252
write_bench,kvs,,,,65253992.0,ns,256
write_bench,kvs,,,,66466592.0,ns,260
write_bench,kvs,,,,67219894.0,ns,264
write_bench,kvs,,,,70357298.0,ns,268
write_bench,kvs,,,,69979698.0,ns,272
write_bench,kvs,,,,70356198.0,ns,276
write_bench,kvs,,,,71343001.0,ns,280
write_bench,kvs,,,,78248208.0,ns,284
write_bench,kvs,,,,82627215.0,ns,288
write_bench,kvs,,,,77879806.0,ns,292
write_bench,kvs,,,,79794409.0,ns,296
write_bench,kvs,,,,77158010.0,ns,300
write_bench,kvs,,,,77940109.0,ns,304
write_bench,kvs,,,,78498309.0,ns,308
write_bench,kvs,,,,84222521.0,ns,312
write_bench,kvs,,,,80491010.0,ns,316
write_bench,kvs,,,,81889415.0,ns,320
write_bench,kvs,,,,84001317.0,ns,324
write_bench,kvs,,,,83403315.0,ns,328
write_bench,kvs,,,,86021921.0,ns,332
write_bench,kvs,,,,86259520.0,ns,336
write_bench,kvs,,,,86835820.0,ns,340
write_bench,kvs,,,,88183923.0,ns,344
write_bench,kvs,,,,89260524.0,ns,348
write_bench,kvs,,,,95306531.0,ns,352
write_bench,kvs,,,,108860450.0,ns,356
write_bench,kvs,,,,93535230.0,ns,360
write_bench,kvs,,,,92935727.0,ns,364
write_bench,kvs,,,,96230333.0,ns,368
write_bench,kvs,,,,98384836.0,ns,372
write_bench,kvs,,,,96991634.0,ns,376
write_bench,kvs,,,,97757937.0,ns,380
write_bench,kvs,,,,104864946.0,ns,384
write_bench,kvs,,,,99716338.0,ns,388
write_bench,kvs,,,,100586639.0,ns,392
write_bench,kvs,,,,102564142.0,ns,396
write_bench,kvs,,,,104066643.0,ns,400
